date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:11	34668/34668	---MCZ	200	added ('OK')	text/html	etag:W/%229556b2b58c461d883bb2c44061941337%22	https://www.amirmalaeb.com/	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/index.html	(from )
10:00:11	345/345	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2009:00:09%20GMT	https://www.amirmalaeb.com/robots.txt		(from )
10:00:11	1060/1060	---MC-	200	added ('OK')	text/css	date:Mon,%2016%20Sep%202024%2009:00:11%20GMT	https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;600;700&display=swap	/home/habibi/websites/Portfolio%20website%20/fonts.googleapis.com/css22261.css	(from https://www.amirmalaeb.com/)
10:00:13	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	/home/habibi/websites/Portfolio%20website%20/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.amirmalaeb.com/)
10:00:14	14321/14321	---MCZ	200	added ('OK')	text/css	etag:W/%229ac2755885145a42e90bd7445a43434d%22	https://www.amirmalaeb.com/styles.css	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/styles.css	(from https://www.amirmalaeb.com/)
10:00:15	34668/34668	---MCZ	200	added ('OK')	text/html	etag:W/%229556b2b58c461d883bb2c44061941337%22	https://www.amirmalaeb.com/index.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/index-2.html	(from https://www.amirmalaeb.com/)
10:00:15	2322/2322	---MCZ	200	added ('OK')	text/html	etag:W/%2272b85fb81253e86d9553ed9c7abeec8c%22	https://www.amirmalaeb.com/projects.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/projects.html	(from https://www.amirmalaeb.com/)
10:00:17	411450/411450	---M--	200	added ('OK')	image/jpeg	etag:%22b5d9dbf7a2d5bb57559986e10c99a2e3%22	https://www.amirmalaeb.com/images/replace.jpg	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/images/replace.jpg	(from https://www.amirmalaeb.com/)
10:00:18	6770/6770	---MCZ	200	added ('OK')	text/html	etag:W/%223bca87a42635796c241af978d91c8aa8%22	https://www.amirmalaeb.com/project-EKS-Kubernetes.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/project-EKS-Kubernetes.html	(from https://www.amirmalaeb.com/)
10:00:19	5096/5096	---MCZ	200	added ('OK')	text/html	etag:W/%2251a5f01bd04bec8d53ed1c84bdee2d5b%22	https://www.amirmalaeb.com/project-aws-deployment.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/project-aws-deployment.html	(from https://www.amirmalaeb.com/)
10:00:20	1123971/1123971	---M--	200	added ('OK')	image/jpeg	etag:%22513c758585514894ca849683b2c4911a%22	https://www.amirmalaeb.com/images/EKS-project/EKS%20Cluster.jpg	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/images/EKS-project/EKS%20Cluster.jpg	(from https://www.amirmalaeb.com/)
10:00:21	1226196/1226196	---M--	200	added ('OK')	image/jpeg	etag:%221c2d6cfd554e562069459479117e9be6%22	https://www.amirmalaeb.com/images/3TierArchitecture.jpg	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/images/3TierArchitecture.jpg	(from https://www.amirmalaeb.com/)
10:00:22	5782/5782	---MCZ	200	added ('OK')	text/html	etag:W/%222047928878e22ba1b62866779ff9b61d%22	https://www.amirmalaeb.com/project-ai-image-generation.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/project-ai-image-generation.html	(from https://www.amirmalaeb.com/)
10:00:22	377/377	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2009:00:21%20GMT	https://www.amirmalaeb.com/images/ai-image-generation-with-docker.jpg	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/images/ai-image-generation-with-docker.jpg	(from https://www.amirmalaeb.com/)
10:00:24	5658/5658	---MCZ	200	added ('OK')	text/html	etag:W/%2270f8d7caed1f79a6da880a8d54bcbd40%22	https://www.amirmalaeb.com/project-wordpress-aws.html	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/project-wordpress-aws.html	(from https://www.amirmalaeb.com/)
10:00:24	361/361	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2009:00:23%20GMT	https://www.amirmalaeb.com/images/wordpressonaws.jpeg	/home/habibi/websites/Portfolio%20website%20/www.amirmalaeb.com/images/wordpressonaws.jpeg	(from https://www.amirmalaeb.com/)
